supply_air_temp,supply_air_mass_flowrate,north_wall_temperature,west_wall_temperature,south_wall_temperature,south_window_temperature,east_wall_temperature,east_window_temperature,floor_temperature,ceiling_temperature,number_occupants,occupant_x_coordinate,occupant_y_coordinate,ambient_temperature_occupant_experiences
13,0.21,27,27,28,31,29,31,27,27,3,3.6,4.3,23.85746806
15,0.17,26,26,26,26,27,35,26,26,3,3.6,4.3,23.69590651
13,0.14,26,26,28,29,27,29,26,26,3,3.6,4.3,23.93100993
17,0.08,25,25,25,22,25,22,24,24,3,3.6,4.3,23.43245878
16,0.1,21,21,20,15,20,16,21,21,3,3.6,4.3,20.15443094
14,0.11,21,21,20,15,20,15,20,20,3,3.6,4.3,19.22064654
19,0.01,24,24,23,19,23,22,24,24,3,3.6,4.3,23.87626006
15,0.09,25,26,27,25,26,22,25,25,3,3.6,4.3,23.94728434
18,0.17,25,26,26,24,26,23,25,25,3,3.6,4.3,23.45775623
17,0.08,25,25,24,23,24,27,25,25,3,3.6,4.3,24.03180326
15,0.07,25,25,25,23,25,24,25,25,3,3.6,4.3,23.82728574
17,0.23,26,26,27,23,26,25,26,26,3,3.6,4.3,23.87786324
13,0.09,25,25,25,25,25,25,25,26,3,3.6,4.3,23.47323157
19,0.08,25,25,25,22,24,29,25,25,3,3.6,4.3,24.41875474
16,0.09,25,25,25,23,25,23,24,25,3,3.6,4.3,23.45626108
16,0.15,26,26,27,23,27,24,26,26,3,3.6,4.3,24.0245402
13,0.13,26,26,26,27,28,34,26,26,3,3.6,4.3,24.06787576
13,0.14,26,26,26,27,27,34,26,26,3,3.6,4.3,23.8499018
13,0.18,26,26,27,30,27,30,26,27,3,3.6,4.3,23.32844594
18,0.3,26,26,26,26,27,25,26,26,3,3.6,4.3,24.05902988
15,0.1,25,26,25,30,26,27,26,25,3,3.6,4.3,24.27540828
12,0.19,26,27,27,32,27,23,28,26,3,3.6,4.3,23.47842669
14,0.19,26,26,27,28,28,28,26,27,3,3.6,4.3,23.86193973
13,0.16,26,27,29,31,28,28,27,27,3,3.6,4.3,24.08161366
13,0.14,26,26,26,27,28,37,27,27,3,3.6,4.3,24.45094524
17,0.31,26,27,29,35,28,26,27,27,3,3.6,4.3,23.60112989
25,0.01,22,22,20,16,20,19,22,22,3,3.6,4.3,21.92135609
18,0.17,25,26,26,24,26,24,25,26,3,3.6,4.3,24.05371999
13,0.16,26,27,27,31,28,27,27,27,3,3.6,4.3,24.32294002
13,0.1,21,21,21,14,20,14,21,20,3,3.6,4.3,19.28827652
12,0.09,24,25,25,20,24,20,24,24,3,3.6,4.3,22.21153125
19,0.21,26,26,26,25,26,25,26,26,3,3.6,4.3,24.05734251
11,0.09,25,26,27,29,26,21,25,25,3,3.6,4.3,23.24845101
13,0.13,26,26,28,29,27,27,26,26,3,3.6,4.3,23.55392997
18,0.18,25,26,26,27,26,24,25,25,3,3.6,4.3,23.83406336
20,0.31,26,26,26,25,27,26,26,26,3,3.6,4.3,24.38053592
11,0.06,23,25,24,23,26,20,23,23,3,3.6,4.3,22.02308793
17,0.22,26,26,26,24,27,32,27,27,3,3.6,4.3,24.10924427
18,0.25,26,26,26,23,27,24,26,26,3,3.6,4.3,24.07272409
17,0.06,21,21,21,22,21,16,21,21,3,3.6,4.3,21.06278961
13,0.19,26,26,27,30,28,28,26,27,3,3.6,4.3,22.89397352
13,0.04,25,25,25,23,25,21,25,25,3,3.6,4.3,23.86254197
16,0.26,26,26,28,34,27,24,26,26,3,3.6,4.3,23.006085
13,0.17,27,27,27,24,28,30,28,27,3,3.6,4.3,24.3035832
19,0.31,26,27,28,32,28,24,26,26,3,3.6,4.3,23.97144174
17,0.21,26,26,26,25,26,25,25,26,3,3.6,4.3,23.8569705
17,0.31,26,27,27,32,28,28,27,26,3,3.6,4.3,23.32619816
13,0.15,26,26,27,30,29,30,26,27,3,3.6,4.3,23.95397912
13,0.1,25,25,25,23,25,23,25,25,3,3.6,4.3,23.25966982
13,0.2,27,27,28,26,28,27,27,27,3,3.6,4.3,23.80416455
20,0.14,25,25,26,24,26,24,24,25,3,3.6,4.3,24.20003065
20,0.24,25,25,26,24,26,24,25,25,3,3.6,4.3,23.81255248
16,0.03,24,25,23,25,24,25,24,24,3,3.6,4.3,23.95328006
13,0.19,26,26,27,30,28,29,26,27,3,3.6,4.3,23.26263944
20,0.24,26,26,27,26,27,24,25,26,3,3.6,4.3,24.14115381
13,0.1,26,26,26,29,27,25,26,26,3,3.6,4.3,24.15297349
13,0.18,26,26,28,27,27,27,26,26,3,3.6,4.3,23.35185361
15,0.07,22,22,21,16,21,16,22,22,3,3.6,4.3,20.91039448
16,0.03,23,24,24,24,24,17,24,23,3,3.6,4.3,23.50793829
16,0.06,21,21,21,18,21,16,21,21,3,3.6,4.3,20.6397582
13,0.19,26,27,28,26,27,27,27,27,3,3.6,4.3,23.77627399
11,0.1,25,26,25,26,25,23,26,25,3,3.6,4.3,23.18434279
19,0.03,22,23,23,15,22,15,22,22,3,3.6,4.3,21.76621289
13,0.2,26,27,28,29,29,30,27,27,3,3.6,4.3,23.32082247
20,0.19,25,25,25,24,25,24,25,25,3,3.6,4.3,24.1781478
13,0.19,26,27,27,30,28,30,27,27,3,3.6,4.3,23.68510718
18,0.06,24,25,25,23,25,23,24,24,3,3.6,4.3,23.80479716
13,0.12,26,27,28,26,27,27,26,27,3,3.6,4.3,24.22043052
13,0.16,26,26,26,27,26,29,26,26,3,3.6,4.3,23.09656228
14,0.19,26,26,27,25,27,26,26,26,3,3.6,4.3,23.25378871
14,0.11,21,21,20,17,20,17,20,20,3,3.6,4.3,19.4030218
21,0.25,25,25,26,24,26,24,25,25,3,3.6,4.3,24.00581859
12,0.06,22,22,21,19,21,19,21,21,3,3.6,4.3,20.47934326
19,0.27,26,26,26,25,26,33,26,26,3,3.6,4.3,23.98881782
12,0.09,24,24,24,20,24,20,24,24,3,3.6,4.3,22.06341925
16,0.18,25,26,26,26,26,26,25,26,3,3.6,4.3,23.55149921
13,0.07,25,25,25,26,26,26,25,26,3,3.6,4.3,23.99300765
16,0.14,25,26,27,23,27,23,25,25,3,3.6,4.3,23.0986029
12,0.09,21,21,20,17,20,16,20,21,3,3.6,4.3,19.37760642
13,0.08,25,26,26,26,26,26,25,26,3,3.6,4.3,23.90106195
18,0.31,26,26,27,32,27,27,26,26,3,3.6,4.3,23.3930873
13,0.16,26,27,28,28,27,26,26,26,3,3.6,4.3,23.66098088
17,0.1,25,25,26,24,25,24,25,25,3,3.6,4.3,23.95502514
13,0.08,23,24,23,24,23,22,23,23,3,3.6,4.3,21.9766168
17,0.15,25,25,24,24,24,24,25,25,3,3.6,4.3,23.49112659
17,0.09,25,25,25,23,25,24,25,25,3,3.6,4.3,23.91164038
17,0.31,26,27,28,32,28,26,26,26,3,3.6,4.3,23.1718126
11,0.1,22,22,21,18,21,20,22,22,3,3.6,4.3,20.24147018
12,0.09,21,23,21,16,21,20,23,21,3,3.6,4.3,20.47791453
12,0.07,22,22,22,19,22,19,22,22,3,3.6,4.3,20.87756309
13,0.18,26,27,27,26,28,28,27,27,3,3.6,4.3,23.88043317
16,0.1,25,25,25,22,25,22,25,25,3,3.6,4.3,23.58214269
13,0.09,25,26,26,32,26,25,26,25,3,3.6,4.3,24.14788046
19,0.29,26,27,28,31,27,25,26,26,3,3.6,4.3,24.60031053
13,0.16,26,27,28,36,28,26,27,26,3,3.6,4.3,23.87736113
18,0.12,25,26,25,24,25,25,25,26,3,3.6,4.3,24.23187967
13,0.23,27,27,28,30,28,30,27,27,3,3.6,4.3,23.34630536
17,0.01,23,23,21,19,21,20,23,23,3,3.6,4.3,22.80783315
17,0.31,26,27,28,32,28,25,27,26,3,3.6,4.3,23.20160089
18,0.09,21,21,20,16,20,16,20,21,3,3.6,4.3,20.39968158
17,0.09,21,21,20,16,20,16,21,21,3,3.6,4.3,20.44093871
25,0.08,21,21,20,15,20,14,20,20,3,3.6,4.3,20.90300404
13,0.23,26,27,28,31,28,31,26,27,3,3.6,4.3,23.20904066
13,0.16,26,27,27,30,27,29,26,27,3,3.6,4.3,23.6801434
15,0.04,24,24,23,21,24,21,23,24,3,3.6,4.3,22.86895945
13,0.08,25,26,25,26,26,26,25,26,3,3.6,4.3,23.83875083
18,0.28,25,25,25,24,25,31,26,26,3,3.6,4.3,23.31059752
11,0.1,25,25,24,24,25,25,26,25,3,3.6,4.3,23.00990497
19,0.31,26,26,26,26,27,26,26,26,3,3.6,4.3,23.68944415
18,0.15,25,26,26,23,26,22,24,25,3,3.6,4.3,23.5988864
11,0.09,23,23,24,18,23,18,23,23,3,3.6,4.3,21.0723858
19,0.29,26,26,27,27,27,27,25,26,3,3.6,4.3,23.54401577
13,0.19,27,27,28,32,28,27,28,27,3,3.6,4.3,23.27076672
13,0.16,26,26,27,29,27,29,26,27,3,3.6,4.3,23.47222374
15,0.12,25,25,25,22,25,22,25,25,3,3.6,4.3,23.18447754
11,0.04,24,25,23,19,24,31,26,25,3,3.6,4.3,23.86759548
15,0.19,26,26,27,31,27,28,26,26,3,3.6,4.3,23.94131558
17,0.21,26,26,25,26,26,33,26,26,3,3.6,4.3,23.80862301
14,0.1,25,25,26,25,25,24,25,25,3,3.6,4.3,23.46896498
18,0.31,26,27,27,26,27,29,27,27,3,3.6,4.3,23.74001663
11,0.17,26,27,28,30,27,22,28,26,3,3.6,4.3,23.08271028
24,0.07,21,21,20,17,20,16,21,21,3,3.6,4.3,21.45064371
20,0.13,25,25,25,24,25,24,25,25,3,3.6,4.3,24.30852157
13,0.15,26,26,27,28,28,37,27,27,3,3.6,4.3,24.29707955
12,0.09,21,21,21,16,21,16,21,21,3,3.6,4.3,19.64992368
16,0.04,22,22,21,17,21,17,22,22,3,3.6,4.3,21.38162163
11,0.06,24,25,25,27,25,21,24,23,3,3.6,4.3,22.76211558
12,0.1,22,22,21,19,21,15,22,21,3,3.6,4.3,20.10384511
20,0.31,26,26,27,26,26,25,26,26,3,3.6,4.3,24.18839765
14,0.1,25,25,26,25,26,25,25,25,3,3.6,4.3,23.5115807
13,0.23,27,27,27,29,29,32,27,27,3,3.6,4.3,23.18689701
19,0.04,23,23,23,20,23,20,23,23,3,3.6,4.3,22.90692369
18,0.27,26,26,27,31,27,25,26,26,3,3.6,4.3,24.02444803
18,0.22,26,26,26,23,27,28,27,26,3,3.6,4.3,23.98147544
12,0.09,22,22,21,19,21,18,22,22,3,3.6,4.3,20.49503042
15,0.09,24,24,23,23,23,23,24,24,3,3.6,4.3,22.74550769
12,0.11,24,24,24,21,24,21,24,24,3,3.6,4.3,21.91107936
12,0.06,23,23,24,23,23,19,22,22,3,3.6,4.3,21.56816096
18,0.01,23,23,22,20,22,21,23,23,3,3.6,4.3,23.0924067
13,0.12,26,26,28,30,27,28,26,26,3,3.6,4.3,24.11635506
13,0.21,27,27,28,33,28,30,27,27,3,3.6,4.3,24.00778237
18,0.03,23,24,24,23,24,20,23,23,3,3.6,4.3,23.25049638
13,0.25,27,27,29,33,29,31,27,27,3,3.6,4.3,23.4182381
14,0.22,26,26,27,27,27,26,26,26,3,3.6,4.3,23.03694386
13,0.2,26,26,27,28,28,32,27,27,3,3.6,4.3,23.40565993
14,0.13,26,26,27,22,26,23,26,26,3,3.6,4.3,23.64049098
20,0.29,26,26,26,26,26,26,25,26,3,3.6,4.3,23.89037787
13,0.13,25,26,26,33,26,22,26,25,3,3.6,4.3,23.59065044
13,0.19,27,27,28,36,29,28,28,27,3,3.6,4.3,24.41077654
13,0.21,27,27,28,29,28,29,27,27,3,3.6,4.3,23.36285286
13,0.19,26,27,27,29,28,33,27,27,3,3.6,4.3,23.50291597
20,0.31,26,27,27,23,28,24,25,26,3,3.6,4.3,24.07708545
13,0.1,26,26,26,23,26,23,25,26,3,3.6,4.3,23.47433405
13,0.19,27,27,28,27,28,28,27,27,3,3.6,4.3,23.54587539
19,0.31,26,26,26,28,26,26,25,26,3,3.6,4.3,23.49705145
14,0.13,26,26,26,23,26,28,26,26,3,3.6,4.3,23.76933934
14,0.14,26,25,26,23,26,30,26,26,3,3.6,4.3,23.67058725
11,0.07,23,23,23,17,23,17,22,22,3,3.6,4.3,20.76782115
18,0.17,25,26,27,27,27,23,25,25,3,3.6,4.3,23.49436332
13,0.05,25,25,25,21,24,29,25,25,3,3.6,4.3,23.73068182
14,0.1,26,26,26,28,27,28,26,26,3,3.6,4.3,24.14264435
13,0.09,26,26,26,26,26,26,26,26,3,3.6,4.3,23.81470444
13,0.22,27,27,27,28,29,30,27,27,3,3.6,4.3,23.24316514
13,0.17,26,27,28,32,28,29,27,27,3,3.6,4.3,23.73777724
13,0.12,26,26,26,28,27,31,26,26,3,3.6,4.3,24.13995971
16,0.1,25,25,24,22,26,33,26,25,3,3.6,4.3,24.11129543
16,0.08,25,25,27,22,26,21,24,25,3,3.6,4.3,23.63266133
13,0.21,27,27,28,31,28,30,27,27,3,3.6,4.3,23.47201648
19,0.3,26,26,26,25,26,33,27,26,3,3.6,4.3,23.85967203
18,0.31,26,26,27,32,28,26,26,26,3,3.6,4.3,23.27887689
16,0.1,24,24,25,22,25,22,23,24,3,3.6,4.3,22.77006335
13,0.22,27,27,27,26,28,27,27,27,3,3.6,4.3,23.08343854
13,0.22,26,27,28,25,28,27,27,27,3,3.6,4.3,23.56623789
15,0.11,26,26,26,21,27,23,26,26,3,3.6,4.3,23.92521438
15,0.11,21,22,20,17,21,13,21,21,3,3.6,4.3,19.99520223
13,0.23,27,27,29,33,28,30,27,27,3,3.6,4.3,23.29881014
14,0.22,26,26,27,28,27,28,26,27,3,3.6,4.3,23.19262507
19,0.31,26,26,25,25,27,32,26,26,3,3.6,4.3,23.69766113
20,0.03,23,23,22,22,22,21,22,22,3,3.6,4.3,22.65429664
17,0.15,25,25,24,24,24,24,25,25,3,3.6,4.3,23.49112659
13,0.19,26,26,26,27,28,34,27,27,3,3.6,4.3,23.64599805
19,0.11,25,25,25,23,25,23,24,25,3,3.6,4.3,23.89539296
17,0.29,26,27,27,32,27,25,27,26,3,3.6,4.3,23.36126042
13,0.21,26,26,27,28,28,28,26,27,3,3.6,4.3,22.72737461
13,0.15,26,26,28,29,27,29,26,27,3,3.6,4.3,23.85983724
16,0.16,26,26,27,29,27,24,26,26,3,3.6,4.3,24.18977716
18,0.28,26,27,28,24,28,25,27,27,3,3.6,4.3,24.57338193
15,0.16,26,26,26,27,26,24,25,26,3,3.6,4.3,23.60412512
11,0.11,24,24,23,21,23,25,24,24,3,3.6,4.3,21.9438203
13,0.05,25,25,24,21,25,28,25,25,3,3.6,4.3,23.70613346
11,0.11,25,26,25,31,26,26,26,25,3,3.6,4.3,23.39372925
17,0.29,26,27,27,29,27,23,27,26,3,3.6,4.3,23.26793239
17,0.31,26,27,27,25,27,31,27,27,3,3.6,4.3,23.38117223
13,0.22,27,27,28,30,28,25,28,27,3,3.6,4.3,23.1280388
13,0.18,26,27,29,33,28,28,27,27,3,3.6,4.3,24.19649192
14,0.11,21,21,21,13,20,13,20,20,3,3.6,4.3,19.0970111
19,0.31,26,26,26,28,26,26,26,26,3,3.6,4.3,23.67124539
11,0.08,22,22,22,18,22,18,22,22,3,3.6,4.3,20.45105415
16,0.17,26,27,27,32,27,24,27,26,3,3.6,4.3,23.64558438
17,0.31,26,26,27,24,27,26,26,27,3,3.6,4.3,22.97598142
19,0.24,25,25,26,24,26,23,24,25,3,3.6,4.3,23.64505014
15,0.16,25,25,25,23,25,27,26,26,3,3.6,4.3,23.50302178
18,0.1,24,24,24,22,24,22,24,24,3,3.6,4.3,23.21177396
14,0.12,26,27,26,29,26,22,27,26,3,3.6,4.3,24.2681762
19,0.3,26,26,28,35,27,24,27,26,3,3.6,4.3,24.13167971
13,0.09,25,25,25,21,25,21,25,25,3,3.6,4.3,22.93814303
14,0.15,26,26,27,28,27,27,26,26,3,3.6,4.3,23.47479348
15,0.09,25,26,25,24,26,25,25,26,3,3.6,4.3,23.9755279
13,0.07,23,23,22,21,23,20,22,23,3,3.6,4.3,21.57015108
13,0.19,26,27,28,30,29,30,26,27,3,3.6,4.3,23.47003726
16,0.18,26,26,27,25,27,25,26,26,3,3.6,4.3,23.79529218
13,0.22,26,27,28,30,28,27,27,27,3,3.6,4.3,23.08544246
19,0.29,26,26,26,28,26,27,26,26,3,3.6,4.3,23.70885425
19,0.29,26,27,28,30,28,25,26,26,3,3.6,4.3,23.71668228
18,0.18,25,25,24,23,25,23,25,25,3,3.6,4.3,23.4727903
15,0.11,26,26,26,21,27,23,26,26,3,3.6,4.3,23.99842985
13,0.16,26,26,28,30,28,29,26,27,3,3.6,4.3,23.88984735
14,0.23,26,27,28,32,29,23,27,26,3,3.6,4.3,23.31734049
16,0.04,23,23,23,18,23,18,23,23,3,3.6,4.3,22.30394654
16,0.02,22,23,21,14,21,26,23,22,3,3.6,4.3,22.15947212
14,0.18,26,27,27,34,27,22,27,26,3,3.6,4.3,23.9266046
17,0.23,26,26,26,25,27,35,27,26,3,3.6,4.3,23.83111106
13,0.15,26,27,27,27,27,32,27,27,3,3.6,4.3,23.67944948
16,0.1,25,26,25,23,25,27,26,26,3,3.6,4.3,24.25121957
13,0.22,27,27,27,29,28,32,27,27,3,3.6,4.3,23.33143242
14,0.11,25,25,25,24,26,24,25,26,3,3.6,4.3,23.40721566
14,0.04,24,24,24,21,25,22,24,24,3,3.6,4.3,23.2416969
12,0.04,24,26,26,22,27,19,24,24,3,3.6,4.3,23.24069817
16,0.08,25,25,26,22,25,21,24,25,3,3.6,4.3,23.50394782
13,0.24,27,27,28,31,28,29,27,27,3,3.6,4.3,23.3139655
18,0.06,24,24,24,23,24,23,24,24,3,3.6,4.3,23.60952487
14,0.15,26,26,26,25,26,25,26,26,3,3.6,4.3,23.68017604
13,0.17,26,27,28,26,28,27,27,27,3,3.6,4.3,23.72531379
13,0.16,26,26,26,28,27,29,26,26,3,3.6,4.3,23.6394562
13,0.13,26,26,27,30,27,29,26,27,3,3.6,4.3,24.21114183
14,0.07,22,22,22,16,23,15,21,21,3,3.6,4.3,20.37178752
13,0.15,26,27,27,26,27,27,26,27,3,3.6,4.3,23.77686143
12,0.11,26,26,26,31,26,22,26,26,3,3.6,4.3,23.77996234
14,0.2,26,27,27,25,27,23,27,27,3,3.6,4.3,23.4387891
16,0.01,23,23,21,24,21,23,24,23,3,3.6,4.3,23.56172635
11,0.06,24,25,23,19,23,28,24,24,3,3.6,4.3,22.64971147
18,0.18,25,25,26,22,25,22,25,25,3,3.6,4.3,23.62966582
15,0.11,21,21,20,16,20,15,21,21,3,3.6,4.3,19.92423187
16,0.06,24,24,25,22,24,21,24,24,3,3.6,4.3,23.2675435
13,0.16,26,27,27,31,28,27,27,27,3,3.6,4.3,24.22758524
17,0.31,26,27,29,33,28,25,27,26,3,3.6,4.3,23.32073375
13,0.07,25,26,24,26,24,30,26,25,3,3.6,4.3,24.08186266
13,0.21,26,27,28,28,28,28,26,27,3,3.6,4.3,22.93203594
15,0.15,25,25,25,23,27,32,26,25,3,3.6,4.3,23.19159114
16,0.07,22,22,21,17,21,17,21,22,3,3.6,4.3,20.94023747
21,0.25,25,25,26,24,26,24,25,25,3,3.6,4.3,23.95032356
13,0.14,26,26,28,29,27,28,26,26,3,3.6,4.3,23.81607851
17,0.08,25,25,25,24,25,25,25,25,3,3.6,4.3,24.0800651
13,0.15,25,27,27,33,27,22,27,25,3,3.6,4.3,23.29252395
13,0.18,26,27,27,27,28,25,27,27,3,3.6,4.3,23.71284586
14,0.13,26,26,26,23,26,28,26,26,3,3.6,4.3,23.81005252
17,0.1,25,26,25,25,26,24,25,25,3,3.6,4.3,24.05593105
14,0.13,26,26,27,30,27,24,26,26,3,3.6,4.3,24.09649323
15,0.09,22,22,21,17,21,16,21,21,3,3.6,4.3,20.365631
16,0.11,24,25,24,24,24,23,24,24,3,3.6,4.3,22.96911389
16,0.07,23,24,24,20,23,20,23,23,3,3.6,4.3,22.3622775
13,0.15,26,27,27,28,27,32,27,27,3,3.6,4.3,23.95716955
13,0.08,25,25,24,25,25,31,26,25,3,3.6,4.3,23.94394683
18,0.03,21,21,20,18,20,18,21,21,3,3.6,4.3,21.06645828
13,0.17,27,27,29,33,28,30,27,27,3,3.6,4.3,23.87196612
29,0.01,21,21,20,17,20,17,21,21,3,3.6,4.3,21.25325213
16,0.15,25,26,26,23,26,23,25,25,3,3.6,4.3,23.37132123
13,0.15,27,27,27,27,28,28,27,27,3,3.6,4.3,23.94226745
13,0.07,22,22,22,18,21,18,21,22,3,3.6,4.3,20.61395396
13,0.15,26,27,27,33,27,28,27,27,3,3.6,4.3,24.35253099
13,0.06,25,26,25,25,25,28,25,26,3,3.6,4.3,24.12112088
13,0.14,26,27,27,26,28,28,27,27,3,3.6,4.3,24.14984925
17,0.31,26,27,27,25,28,30,27,27,3,3.6,4.3,23.28906058
15,0.04,25,25,24,24,24,26,24,25,3,3.6,4.3,23.9363819
17,0.23,26,26,27,22,27,24,26,26,3,3.6,4.3,23.3969131
14,0.04,25,26,25,23,25,26,25,25,3,3.6,4.3,24.22128253
14,0.11,25,25,26,22,26,22,24,25,3,3.6,4.3,22.83705006
19,0.04,23,23,22,16,22,16,22,22,3,3.6,4.3,21.87725594
17,0.31,26,27,29,35,28,26,27,26,3,3.6,4.3,23.3991947
13,0.05,25,25,25,25,25,26,25,25,3,3.6,4.3,23.93410953
16,0.23,26,27,27,33,28,29,27,27,3,3.6,4.3,24.41795007
15,0.14,25,26,25,30,25,22,26,25,3,3.6,4.3,23.81755916
17,0.11,21,21,20,13,19,13,20,20,3,3.6,4.3,19.63599479
13,0.23,27,27,29,29,28,27,28,27,3,3.6,4.3,24.06352551
15,0.06,24,24,24,26,24,23,24,24,3,3.6,4.3,23.3736218
13,0.13,26,26,26,27,28,34,26,26,3,3.6,4.3,23.95354002
16,0.27,26,26,27,24,27,34,28,27,3,3.6,4.3,23.88587142
21,0.3,26,26,26,24,26,33,26,26,3,3.6,4.3,24.51208268
13,0.1,22,22,21,18,21,17,21,21,3,3.6,4.3,20.02653939
13,0.03,24,25,24,26,24,17,25,23,3,3.6,4.3,23.81078653
13,0.24,27,27,27,30,28,33,27,27,3,3.6,4.3,23.07399586
12,0.07,24,25,25,21,24,21,24,24,3,3.6,4.3,22.59924115
15,0.09,24,24,23,22,23,23,24,24,3,3.6,4.3,22.7360286
13,0.07,25,25,24,22,25,30,26,25,3,3.6,4.3,23.80951557
19,0.23,26,26,25,25,27,31,26,26,3,3.6,4.3,24.14608016
12,0.11,21,21,21,16,21,16,20,21,3,3.6,4.3,19.21930347
13,0.06,24,25,26,27,25,22,24,24,3,3.6,4.3,23.48556376
27,0.08,20,20,20,15,20,15,19,20,3,3.6,4.3,20.64697011
13,0.14,26,26,27,29,28,33,26,27,3,3.6,4.3,24.31275878
13,0.16,26,26,27,29,27,29,26,26,3,3.6,4.3,23.44666299
13,0.12,26,26,27,29,28,28,26,26,3,3.6,4.3,23.91596016
13,0.12,26,26,28,27,27,26,26,26,3,3.6,4.3,23.67448621
15,0.07,25,25,25,25,25,25,25,25,3,3.6,4.3,24.00297231
19,0.09,21,21,20,16,20,16,20,20,3,3.6,4.3,20.32069411
